up_id,uname,fans,tid_gen,tid_sub,biz_scale_rank,biz_active_rank,biz_trend_rank,biz_score,gmv_30d,avg_daily_gmv,ecpvv,charge_users,cvr,charge_level,biz_level,conclusion
39627524,食贫道,9378267,美食,美食侦探,5,5,2,3.5,2063651,68788.37,323.79,194509,3.05,高,中,双栖偏充电：商单一般，充电已成主要收入来源
23947287,小约翰可汗,10724888,知识,人文历史,4,3,1,2.25,351613,11720.43,217.81,33796,2.09,高,低,充电主力型：商单下行+充电强，充电意愿极高
14583962,思维实验室,8205962,知识,人文历史,3,3,1,2,342616,11420.53,133,32427,1.26,高,低,充电主力型：商单下行+充电强，充电意愿极高
1039025435,战国时代_姜汁汽水,746478,知识,财经商业,2,4,4,3.5,272714,9090.47,419.03,8829,1.36,高,中,双栖偏充电：商单一般，充电已成主要收入来源
504934876,渤海小吏,4217046,知识,人文历史,4,4,3,3.5,247289,8242.97,168.35,23241,1.58,高,中,双栖偏充电：商单一般，充电已成主要收入来源
648113003,沈逸老师,2894272,知识,社科·法律·心理,2,2,1,1.5,202191,6739.7,270.82,7194,0.96,高,低,充电主力型：商单下行+充电强，充电意愿极高
942755,迷影至下Filmlast,2447528,影视,影视杂谈,3,5,4,4,191832,6394.4,135.88,12095,0.86,高,高,双栖强势型：商单充电双高，变现能力极强
316627722,世界见闻录,2197623,知识,人文历史,4,5,4,4.25,125729,4190.97,75.29,6575,0.39,高,高,双栖强势型：商单充电双高，变现能力极强
8049684,绝命墨菲,1937369,影视,影视杂谈,2,4,5,4,106186,3539.53,176.03,6747,1.12,高,高,双栖强势型：商单充电双高，变现能力极强
27756330,好笑那个小鹿,195949,娱乐,综艺,2,2,3,2.5,105560,3518.67,348.99,6647,2.2,高,中,双栖偏充电：商单一般，充电已成主要收入来源
1191790767,世界大抬杠,1285392,知识,人文历史,3,4,4,3.75,90349,3011.63,60.85,8516,0.57,中,中,双栖均衡型：商单充电均中等，需观察趋势
1054162081,天秤Dav,352011,音乐,乐评盘点,2,4,2,2.5,83946,2798.2,262.08,3230,1.01,中,中,双栖均衡型：商单充电均中等，需观察趋势
654552,圆桌动漫,5572145,动画,国产原创相关,3,4,2,2.75,73810,2460.33,113.11,4726,0.72,中,中,双栖均衡型：商单充电均中等，需观察趋势
618442764,树懒小结界,486188,影视,影视杂谈,2,2,1,1.5,71501,2383.37,84.19,4289,0.51,中,低,充电成长型：商单下行，充电有基础，重点培养对象
10119428,小片片说大片,7974185,影视,影视杂谈,4,5,1,2.75,70406,2346.87,82.35,4494,0.53,中,中,双栖均衡型：商单充电均中等，需观察趋势
7481602,安州牧,2497910,知识,人文历史,3,2,4,3.25,70289,2342.97,130.81,5995,1.12,中,中,双栖均衡型：商单充电均中等，需观察趋势
454719565,奇闻观察室,4005551,知识,人文历史,2,4,3,3,59912,1997.07,78.26,2233,0.29,中,中,双栖均衡型：商单充电均中等，需观察趋势
10330740,观察者网,7308441,资讯,环球,3,2,1,1.75,56534,1884.47,239.15,1240,0.52,中,低,充电成长型：商单下行，充电有基础，重点培养对象
2539073,女王泡面,1080123,影视,影视杂谈,2,3,3,2.75,53754,1791.8,122.65,3237,0.74,中,中,双栖均衡型：商单充电均中等，需观察趋势
346563107,波士顿圆脸,5548342,资讯,环球,4,5,4,4.25,51803,1726.77,55.23,1844,0.2,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
601599567,不嘚瑟都掉毛,1621780,知识,人文历史,2,2,2,2,48638,1621.27,89.48,4562,0.84,中,低,充电成长型：商单下行，充电有基础，重点培养对象
596847138,棱镜Talk,1959752,知识,社科·法律·心理,2,4,5,4,47772,1592.4,59.43,1790,0.22,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
322595106,圆某人和四某人,1394415,游戏,电子竞技,3,4,5,4.25,45753,1525.1,135.3,2910,0.86,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
617213164,飞奔啊蜗牛,588692,影视,影视杂谈,2,4,3,3,43632,1454.4,195.23,1522,0.68,中,中,双栖均衡型：商单充电均中等，需观察趋势
693450094,嗑书的阿冉叔,1431034,知识,人文历史,2,3,3,2.75,42749,1424.97,138.65,1605,0.52,中,中,双栖均衡型：商单充电均中等，需观察趋势
