up_id,uname,fans,tid_gen,tid_sub,space_url,first_charge_date,days_since,charge_video_cnt,gmv,avg_daily_gmv,vv,ecpvv,charge_users,cvr,on_board,summary
11471314,一只摸鱼的炸毛怪,12096,影视,影视剪辑,https://space.bilibili.com/11471314,2026-05-05,15,1,52171.0,1739.03,113010,461.65,2072,1.83,1,古装家庭教育题材剪辑，聚焦传统士族家庭中舅舅对外甥的严厉管教场景。内容围绕晚辈因心术不正、投机取巧而遭受训诫，强调传统君子风骨的教育理念，呈现长辈通过言辞斥责纠正晚辈品行的过程。
1219869445,nara治愈,411675,生活,其他,https://space.bilibili.com/1219869445,2026-05-13,7,83,43900.0,1463.33,319591,137.36,1517,0.47,1,①ASMR助眠内容为核心，包含耳语、掏耳、轻声闲聊等经典助眠形式；②丰富的声音触发素材，涵盖咀嚼音（糖果、蜂巢蜜）、敲击音（屏幕、指甲）、梳麦、心跳声等多样化听觉体验；③角色扮演情景剧特色突出，从温柔朋友系日常护理到鸡尾酒吧、魔法师、化石发掘等沉浸式场景，营造陪伴治愈氛围
617213164,飞奔啊蜗牛,588692,影视,影视杂谈,https://space.bilibili.com/617213164,2026-05-08,12,1,43632.0,1454.4,223495,195.23,1522,0.68,1,"《甄嬛传》深度解读系列，采用""放大镜""式分析手法，通过挖掘历史批示、奏折等细节，解读雍正与年羹尧、隆科多等权臣之间的微妙博弈与命运走向。陪伴式讲解风格，带观众重刷经典剧集，发现剧情背后隐藏的权谋逻辑与人物宿命循环。"
3691011427535033,沐颜漫剧,3743,生活,日常,https://space.bilibili.com/3691011427535033,2026-04-29,21,7,41142.0,1371.4,199715,206.0,1561,0.78,1,①专注双女主原创漫剧创作，内容垂直度高；②题材横跨古风宫廷与现代都市，古风剧集中呈现皇宫权谋、重生复仇等设定；③情感线丰富多元，涵盖双向暗恋、追妻火葬场、甜宠日常等不同情感向剧情，满足女性向受众的多样化观剧需求。
3546587185809557,蜀犬吠日SCFR,291270,生活,出行,https://space.bilibili.com/3546587185809557,2026-04-27,23,1,38121.0,1270.7,381784,99.85,2187,0.57,1,小众地理目的地深度旅行vlog，聚焦非主流旅游地的长线慢游体验。以十二天特内里费岛之旅为例，内容涵盖雪山熔岩地貌、云海森林等自然奇观探索，穿插废弃建筑、特色小镇等人文猎奇，兼顾租车自驾、当地美食等生活化细节。记录风格真实随性，包含旅途中的突发状况，呈现完整的旅行过程而非景点打卡。
488978908,异世界情绪,346291,音乐,翻唱,https://space.bilibili.com/488978908,2026-05-05,15,2,32214.0,1073.8,19463,1655.14,138,0.71,1,音乐翻唱类UP主，本月上传了「2DAYS LIVE」连续两天专场演唱会录像，分别以「Flower Closet」和「Anima Re:birth」为主题呈现不同风格的现场演出，展现完整的live舞台表演氛围。
3690987610179738,shipX厂牌,16233,娱乐,综艺,https://space.bilibili.com/3690987610179738,2026-05-06,14,58,31704.0,1056.8,129009,245.75,1287,1.0,1,"①自制全女真人秀综艺《你是我心选的她》的完整内容矩阵，涵盖正片更新、主创回看反应、幕后加更及吃瓜花絮；②围绕女性参与者的互动相处、搭档选择与情感交流，穿插表演考核、试镜环节；③衍生""心选""系列聚焦特定CP的高甜互动片段，打造橘里橘气的氛围感内容"
3494372498737418,老狗的基妙冒险,3978,娱乐,明星综合,https://space.bilibili.com/3494372498737418,2026-04-28,22,25,29661.0,988.7,184671,160.62,1112,0.6,1,"专注欧美腐剧""黑契""第二季的连载式剪辑，按集数顺序追更，用""看上了""""亲上了""""求婚了""等直白标题概括每集CP互动重点，完整追踪从心动到婚礼的感情发展线，偶尔穿插衍生剧内容丰富剧情世界观。"
3546965084211980,X音素评委总账号,1325,音乐,乐评盘点,https://space.bilibili.com/3546965084211980,2026-04-28,22,147,27727.0,924.23,235545,117.71,1484,0.63,1,①专业声乐技术点评系列，从国外声乐老师视角分析华语及韩日歌手的发声方式、声带运用、混声技巧等演唱细节；②覆盖流行、美声、音乐剧等多元曲风，既有现场演唱会也有音乐节目舞台的即兴reaction；③强调客观评价原则，注重声音松弛度、高位置共鸣、气息支撑等专业维度的剖析
3546652233173243,裘家大小姐,6717,影视,影视剪辑,https://space.bilibili.com/3546652233173243,2026-04-22,28,38,19078.0,635.93,121053,157.6,721,0.6,1,"①""生怀流""题材影视剪辑创作者，以男性孕产为核心设定，围绕怀孕、分娩及养育过程展开情感叙事；②覆盖现代都市、古装宫廷、科幻未来等多元世界观，主打情侣/伴侣间的虐恋情深与守护陪伴；③擅长营造戏剧冲突（误会分离、身份悬殊、生死考验），通过孕期困境强化角色羁绊，整体风格偏向情感向剧情剪辑"
